CodPedido,DtPedido,CodFilial,CodProduto,Qtd,VlUnit
392,1705641216,10,147,13,83.13
277,1705641101,13,120,9,21.89
231,1705641055,7,110,11,24.35
226,1705641050,13,212,1,94.17
266,1705641090,8,206,13,28.95
367,1705641191,8,229,10,54.4
413,1705641237,12,192,12,57.81
293,1705641117,6,235,9,14.38
366,1705641190,12,100,7,69.64
320,1705641144,15,151,7,53.14
341,1705641165,7,105,1,81.99
324,1705641148,2,132,13,36.48
326,1705641150,2,214,10,1.54
321,1705641145,15,230,15,61.98
320,1705641144,15,184,15,60.33
385,1705641209,4,276,7,75.72
413,1705641237,12,276,5,75.72
327,1705641151,13,230,8,61.98
243,1705641067,12,128,4,45.02
320,1705641144,15,117,9,71.49
245,1705641069,9,143,5,21.62
362,1705641186,10,113,12,71.29
236,1705641060,7,180,2,98.82
339,1705641163,9,198,3,24.14
357,1705641181,5,142,2,77.62
233,1705641057,3,172,12,53.87
248,1705641072,5,117,5,71.49
407,1705641231,15,237,8,27.79
329,1705641153,13,189,1,24.4
276,1705641100,13,272,2,59.02
234,1705641058,14,139,11,47.03
238,1705641062,15,105,15,81.99
233,1705641057,3,224,3,77.92
322,1705641146,9,113,1,71.29
379,1705641203,9,215,5,39.8
284,1705641108,8,168,6,50.13
324,1705641148,2,168,9,50.13
327,1705641151,13,270,4,17.63
267,1705641091,6,187,14,58.47
319,1705641143,12,178,15,10.54
304,1705641128,1,243,15,27.51
262,1705641086,3,127,4,53.22
289,1705641113,11,111,3,16.6
359,1705641183,5,287,1,63.56
241,1705641065,7,132,2,36.48
331,1705641155,15,187,5,58.47
249,1705641073,11,280,8,50.18
363,1705641187,15,214,8,1.54
397,1705641221,13,265,2,76.64
232,1705641056,12,164,4,95.11
352,1705641176,15,260,7,32.64
258,1705641082,2,206,5,28.95
300,1705641124,11,169,6,10.11
246,1705641070,7,182,6,55.13
376,1705641200,3,256,2,5.49
263,1705641087,3,264,11,44.81
339,1705641163,9,238,10,40.69
263,1705641087,3,227,2,23.88
244,1705641068,7,190,12,58.29
288,1705641112,9,293,6,21.49
362,1705641186,10,150,10,46.91
256,1705641080,12,200,1,59.88
228,1705641052,14,144,14,75.84
314,1705641138,8,157,7,16.61
378,1705641202,5,155,15,87.86
313,1705641137,7,278,6,60.57
382,1705641206,3,177,3,26.79
342,1705641166,15,202,13,74.98
347,1705641171,12,199,15,62.93
330,1705641154,7,220,5,86.17
394,1705641218,6,105,4,81.99
284,1705641108,8,106,10,49.96
239,1705641063,3,121,13,92.92
245,1705641069,9,162,1,68.26
321,1705641145,15,209,14,32.73
368,1705641192,1,170,3,21.54
287,1705641111,1,186,7,14.72
313,1705641137,7,227,4,23.88
368,1705641192,1,216,2,17.93
347,1705641171,12,204,2,16.58
306,1705641130,3,233,5,18.99
237,1705641061,11,213,1,99.12
399,1705641223,9,277,14,79.33
325,1705641149,5,107,5,94.96
247,1705641071,2,269,7,38.28
262,1705641086,3,226,4,92.99
245,1705641069,9,249,15,99.14
331,1705641155,15,107,3,94.96
287,1705641111,1,140,4,98.17
317,1705641141,11,209,4,32.73
260,1705641084,8,122,7,20.53
396,1705641220,13,209,10,32.73
221,1705641045,13,204,13,16.58
314,1705641138,8,159,9,57.29
372,1705641196,14,125,3,73.09
274,1705641098,11,137,3,29.89
364,1705641188,14,239,9,61.14
221,1705641045,13,184,6,60.33
343,1705641167,7,116,9,12.08
262,1705641086,3,165,10,9.18
364,1705641188,14,186,6,14.72
233,1705641057,3,157,14,16.61
243,1705641067,12,190,10,58.29
407,1705641231,15,149,1,77.47
263,1705641087,3,135,13,90.44
262,1705641086,3,135,6,90.44
270,1705641094,1,191,8,90.22
397,1705641221,13,282,13,93.91
247,1705641071,2,295,8,24.29
313,1705641137,7,221,10,21.94
301,1705641125,15,132,6,36.48
223,1705641047,7,273,11,63.76
390,1705641214,3,213,14,99.12
298,1705641122,12,240,13,81.07
327,1705641151,13,156,11,24.27
332,1705641156,14,250,14,62.25
256,1705641080,12,269,6,38.28
280,1705641104,10,128,9,45.02
389,1705641213,15,112,14,27.9
398,1705641222,8,267,6,63.67
381,1705641205,6,291,13,7.22
335,1705641159,6,286,2,58.95
300,1705641124,11,124,13,72.69
374,1705641198,12,265,7,76.64
269,1705641093,15,205,12,52.16
